register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
CIABDDRB,0xBFD300,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTALO,0xBFD400,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTAHI,0xBFD500,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTBLO,0xBFD600,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTBHI,0xBFD700,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTODLOW,0xBFD800,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTODMID,0xBFD900,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABTODHI,0xBFDA00,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABSDR,0xBFDC00,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABICR,0xBFDD00,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABCRA,0xBFDE00,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
CIABCRB,0xBFDF00,cia,8520 CIA-A/B (OCS/ECS/AGA),8520 CIA-A/B (OCS/ECS/AGA) (common),16,rw,chip-register,,CIA-A/B (8520); interrupts into Paula,"CIAB 8520 (even addresses, high byte lane); 8-bit registers; avoid 16-bit writes.",node00D3
